FECHA,HORA,AUTOPISTA,BANDA Y/O RAMAL,PK,CONDICIONES METEOROLOGICAS,SUPERFICIE DE LA VIA,LESIONADOS,FALLECIDOS,TIPO DE SINIESTRO,MOTO,LVIANO,BUS,CAMION,AÑO_ARCHIVO
2022-06-01,14,AU 25 DE MAYO,ASCENDENTE,400,BUENO,SECA,0,0,OBSTACULO NO FIJO,1,1,0,0,2022
2022-06-02,7,AU 25 DE MAYO,ASCENDENTE,6400,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-02,7,AU ILLIA,ASCENDENTE,2500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1,2022
2022-06-02,17,AU FRONDIZI,DESCENDENTE,1500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-06-02,17,AU PERITO MORENO,DESCENDENTE,500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,1,2022
2022-06-03,1,AU PERITO MORENO,DESCENDENTE,100,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-03,12,AU 25 DE MAYO,ASCENDENTE,3800,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,1,2022
2022-06-03,12,AU DELLEPIANE,ASCENDENTE,3200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,3,0,0,2022
2022-06-03,13,AU DELLEPIANE,ASCENDENTE,100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-06-03,15,AU 25 DE MAYO,ASCENDENTE,4500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,0,2022
2022-06-04,0,AV. LUGONES,DESCENDENTE,5200,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-04,1,AU 25 DE MAYO,DESCENDENTE,3900,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-04,7,AU 25 DE MAYO,ASCENDENTE,4000,BUENO,SECA,1,1,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-04,9,AU PERITO MORENO,ASCENDENTE,4000,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-04,16,TRANSICION RAMAL 1,RAMAL DE EGRESO,-,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-04,23,AV. LUGONES,DESCENDENTE,5300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-05,4,AU DELLEPIANE,DESCENDENTE,3500,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-06,12,AU PERITO MORENO,ASCENDENTE,4200,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-06,18,AU 25 DE MAYO,ASCENDENTE,3300,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-07,18,AU PERITO MORENO,DESCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-08,8,AU PERITO MORENO,ASCENDENTE,1500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-08,12,AU FRONDIZI,ASCENDENTE,1500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-06-08,13,AU 25 DE MAYO,DESCENDENTE,9000,BUENO,SECA,1,1,COLISION CON DOS O MAS VEHICULOS,2,0,0,1,2022
2022-06-08,19,PASEO DEL BAJO,ASCENDENTE,6200,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1,2022
2022-06-08,20,PASEO DEL BAJO,ASCENDENTE,1700,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1,2022
2022-06-09,17,AU PERITO MORENO,ASCENDENTE,1200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-10,1,AU DELLEPIANE,DESCENDENTE,3300,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-10,9,AU PERITO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-11,6,AU PERITO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-11,11,AU PERITO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-06-13,5,PASEO DEL BAJO,ASCENDENTE,3500,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,0,0,1,2022
2022-06-13,6,AU DELLEPIANE,ASCENDENTE,2300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-13,9,AU 25 DE MAYO,DESCENDENTE,4400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-13,12,AU 25 DE MAYO,ASCENDENTE,9000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,2022
2022-06-13,18,AU 25 DE MAYO,DESCENDENTE,9200,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-13,20,AU PERITO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,0,1,0,2022
2022-06-14,19,AU PERITO MORENO,DESCENDENTE,5400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,1,0,2022
2022-06-15,5,AU ILLIA,ASCENDENTE,800,BUENO,SECA,0,1,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-06-15,6,AU ILLIA,ASCENDENTE,800,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-06-15,18,AU PERITO MORENO,DESCENDENTE,5500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-16,2,AU PERITO MORENO,ASCENDENTE,1800,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-16,10,AV. LUGONES,DESCENDENTE,4000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-06-16,12,AU ILLIA,DESCENDENTE,3800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,1,2022
2022-06-16,13,AU 25 DE MAYO,DESCENDENTE,5000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-17,15,AU ILLIA,DESCENDENTE,3500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-17,19,AU ILLIA,DESCENDENTE,3300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-06-17,19,AU 25 DE MAYO,DESCENDENTE,6100,BUENO,SECA,2,0,OBSTACULO NO FIJO,0,2,0,0,2022
2022-06-18,22,AV. CANTILO,ASCENDENTE,10100,BUENO,SECA,2,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-20,20,AU DELLEPIANE,DESCENDENTE,800,BUENO,OTRA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-21,13,AU PERITO MORENO,DESCENDENTE,4000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,1,2022
2022-06-21,14,AU DELLEPIANE,DESCENDENTE,300,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-06-21,18,AU 25 DE MAYO,DESCENDENTE,5200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,1,2022
2022-06-23,10,AU PERITO MORENO,DESCENDENTE,5700,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,0,0,1,2022
2022-06-23,21,AU 25 DE MAYO,DESCENDENTE,3500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-24,10,AU 25 DE MAYO,ASCENDENTE,0,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-06-24,15,AV. CANTILO,ASCENDENTE,8000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-24,15,AU PERITO MORENO,ASCENDENTE,3500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-24,22,AU FRONDIZI,DESCENDENTE,2000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-06-25,18,AU ILLIA,DESCENDENTE,2500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-25,19,AU PERITO MORENO,ASCENDENTE,2900,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-06-27,6,AU PERITO MORENO,ASCENDENTE,3000,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,4,0,0,2022
2022-06-27,19,AU PERITO MORENO,DESCENDENTE,3000,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,7,0,0,2022
2022-06-27,21,AV. CANTILO,ASCENDENTE,8800,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-06-28,10,AU ILLIA,DESCENDENTE,1600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-06-28,19,AU 25 DE MAYO,DESCENDENTE,3600,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,1,0,2022
2022-06-29,7,AU 25 DE MAYO,ASCENDENTE,4700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-29,10,AU DELLEPIANE,ASCENDENTE,3700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-06-29,14,AU DELLEPIANE,ASCENDENTE,3100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-06-30,7,AU PERITO MORENO,DESCENDENTE,500,BUENO,OTRA,0,0,OBSTACULO NO FIJO,0,3,0,0,2022
2022-06-30,15,AU PERITO MORENO,DESCENDENTE,1300,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,2,0,1,2022
2022-08-01,11,AU FRONDIZI,DESCENDENTE,2300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,1,2022
2022-08-02,3,AU PERITO MORENO,DESCENDENTE,400,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-03,10,AV. LUGONES,DESCENDENTE,9800,BUENO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-03,12,AV. CANTILO,ASCENDENTE,7600,BUENO,MOJADA/HUMEDA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-04,7,AU 25 DE MAYO,ASCENDENTE,2800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-04,13,AU DELLEPIANE,ASCENDENTE,4400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-04,16,AU FRONDIZI,DESCENDENTE,2100,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-08-04,17,AU FRONDIZI,ASCENDENTE,1500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-04,19,AU CAMPORA,DESCENDENTE,2500,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-04,22,AU PERITO MORENO,DESCENDENTE,5700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-05,21,AU 25 DE MAYO,ASCENDENTE,9100,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-06,12,AU 25 DE MAYO,ASCENDENTE,2800,BUENO,SECA,3,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-06,14,AU PERITO MORENO,DESCENDENTE,1800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,5,0,0,2022
2022-08-07,21,AU 25 DE MAYO,DESCENDENTE,8700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-09,11,AU DELLEPIANE,ASCENDENTE,4400,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-08-09,13,AU 25 DE MAYO,ASCENDENTE,5500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-09,17,AV. LUGONES,DESCENDENTE,4500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,1,0,2022
2022-08-10,12,AU ILLIA,ASCENDENTE,6500,BUENO,OTRA,1,0,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-08-10,16,AU 25 DE MAYO,ASCENDENTE,9200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-11,8,AV. LUGONES,DESCENDENTE,8600,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,1,2022
2022-08-12,19,AU DELLEPIANE,DESCENDENTE,3600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-13,12,AU DELLEPIANE,DESCENDENTE,1600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-13,17,AU DELLEPIANE,ASCENDENTE,3600,BUENO,SECA,1,0,OBSTACULO NO FIJO,1,0,0,0,2022
2022-08-13,21,AV. CANTILO,ASCENDENTE,9800,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,3,0,0,2022
2022-08-14,6,AV. LUGONES,DESCENDENTE,6000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-14,12,AV. CANTILO,ASCENDENTE,10400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-14,12,AU 25 DE MAYO,DESCENDENTE,2500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-15,8,AU FRONDIZI,ASCENDENTE,2000,BUENO,MOJADA/HUMEDA,2,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-15,9,AU ILLIA,ASCENDENTE,2400,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-08-16,12,AU PERITO MORENO,DESCENDENTE,1000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-16,15,AU ILLIA,ASCENDENTE,3600,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-08-16,15,AU FRONDIZI,DESCENDENTE,1800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,0,2022
2022-08-16,20,AU 25 DE MAYO,DESCENDENTE,7700,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,3,0,0,2022
2022-08-17,10,AU FRONDIZI,DESCENDENTE,1800,LLUVIOSO,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-08-17,14,AU PERITO MORENO,ASCENDENTE,100,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-17,15,AU 25 DE MAYO,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-18,7,AU DELLEPIANE,ASCENDENTE,600,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-18,13,AV. LUGONES,DESCENDENTE,10000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-08-19,10,AU 25 DE MAYO,ASCENDENTE,4500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,1,2022
2022-08-19,19,AU DELLEPIANE,DESCENDENTE,2600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-08-20,0,AU 25 DE MAYO,DESCENDENTE,2800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-20,1,AU 25 DE MAYO,DESCENDENTE,9000,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-08-20,5,AU CAMPORA,ASCENDENTE,2300,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-20,14,AU DELLEPIANE,DESCENDENTE,2700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-21,0,TRANSICION RAMAL 2,RAMAL DE ENLACE,-,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-21,7,AU 25 DE MAYO,DESCENDENTE,5500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-22,6,AU DELLEPIANE,ASCENDENTE,3400,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-22,14,AU PERITO MORENO,ASCENDENTE,4600,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-08-22,17,AU 25 DE MAYO,DESCENDENTE,800,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,0,2022
2022-08-22,18,AU 25 DE MAYO,DESCENDENTE,7000,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-23,7,AU 25 DE MAYO,ASCENDENTE,3500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-23,15,AU ILLIA,ASCENDENTE,2400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-23,21,AV. LUGONES,DESCENDENTE,7600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-08-24,8,AU DELLEPIANE,ASCENDENTE,4000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-24,20,AU DELLEPIANE,DESCENDENTE,1000,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-08-25,1,PASEO DEL BAJO,DIST. SUR - RAMAL 1,-,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-25,6,AU PERITO MORENO,ASCENDENTE,4500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-08-25,18,AU ILLIA,ASCENDENTE,5300,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-26,7,AU ILLIA,DESCENDENTE,4000,"NIEBLA, BRUMA O HUMO",MOJADA/HUMEDA,0,0,OBSTACULO NO FIJO,0,6,0,0,2022
2022-08-26,13,AU ILLIA,ASCENDENTE,6500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-08-26,14,AU 25 DE MAYO,DESCENDENTE,2100,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-08-26,23,AV. CANTILO,ASCENDENTE,10300,LLUVIOSO,MOJADA/HUMEDA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-08-27,7,AU DELLEPIANE,ASCENDENTE,2400,BUENO,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-08-27,8,AU DELLEPIANE,DESCENDENTE,4600,BUENO,MOJADA/HUMEDA,1,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-08-27,21,AU 25 DE MAYO,DESCENDENTE,7700,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-28,0,AU ILLIA,ASCENDENTE,3900,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,1,2022
2022-08-28,1,AU FRONDIZI,ASCENDENTE,2500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-08-28,8,AV. LUGONES,DESCENDENTE,4800,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-08-28,19,AV. CANTILO,ASCENDENTE,10400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-08-29,9,AU PERITO MORENO,DESCENDENTE,5300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-08-29,12,AU DELLEPIANE,ASCENDENTE,2600,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,1,2022
2022-08-30,9,AU ILLIA,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-08-30,18,AV. CANTILO,ASCENDENTE,8600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-08-31,15,DIST. 9 DE JULIO,RAMAL 2 BIS,-,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-09-02,5,AU PERITO MORENO,DESCENDENTE,4000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-09-02,6,AU 25 DE MAYO,DESCENDENTE,9100,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,0,2022
2022-09-02,11,AU FRONDIZI,ASCENDENTE,1400,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-09-03,5,AU FRONDIZI,DESCENDENTE,2800,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-09-03,10,AU 25 DE MAYO,DESCENDENTE,5500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-09-03,11,AV. LUGONES,DESCENDENTE,8500,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-09-04,21,AV. CANTILO,ASCENDENTE,8500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-09-04,22,AV. LUGONES,DESCENDENTE,4600,BUENO,SECA,6,0,OBSTACULO NO FIJO,0,3,0,0,2022
2022-09-05,1,AU 25 DE MAYO,DESCENDENTE,5700,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-09-05,14,AU CAMPORA,DESCENDENTE,3400,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-09-06,6,AU DELLEPIANE,ASCENDENTE,3500,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,2022
2022-09-07,8,AV. LUGONES,DESCENDENTE,8800,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-09-07,14,AU 25 DE MAYO,DESCENDENTE,9000,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,2022
2022-09-07,15,AU 25 DE MAYO,DESCENDENTE,8100,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,0,2022
2022-09-07,17,PTE. SCALABRINI ORTIZ,-,-,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-07,18,AV. LUGONES,DESCENDENTE,6000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-07,18,AU PERITO MORENO,ASCENDENTE,1600,BUENO,SECA,2,0,COLISION CON OBSTACULO FIJO,0,2,0,0,2022
2022-09-07,22,AU PERITO MORENO,DESCENDENTE,5700,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,2,0,0,2022
2022-09-08,1,AU DELLEPIANE,DESCENDENTE,0,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-09-08,1,AU PERITO MORENO,ASCENDENTE,2200,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-09-08,13,AV. LUGONES,DESCENDENTE,4500,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-09-09,9,AU 25 DE MAYO,ASCENDENTE,3500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-09,18,AV. CANTILO,ASCENDENTE,10000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-10,5,AU ILLIA,DESCENDENTE,1400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,2022
2022-09-10,14,TRANSICION RAMAL 3,RAMAL DE ENLACE,-,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,1,0,0,0,2022
2022-09-11,7,AU 25 DE MAYO,ASCENDENTE,2800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,2022
2022-09-12,3,AU CAMPORA,DESCENDENTE,1500,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,2022
2022-09-12,7,AU DELLEPIANE,ASCENDENTE,400,BUENO,SECA,14,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,1,2022
2022-09-12,19,AV. LUGONES,DESCENDENTE,4200,BUENO,SECA,1,0,OTRO,1,0,0,0,2022
2022-09-13,8,AU PERITO MORENO,DESCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,1,2022
2022-09-13,16,AU DELLEPIANE,DESCENDENTE,1600,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-13,17,AV. LUGONES,DESCENDENTE,4300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,1,2022
2022-09-13,18,AU 25 DE MAYO,DESCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,2022
2022-09-14,8,AU 25 DE MAYO,ASCENDENTE,2900,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,2022
2022-09-14,10,AU ILLIA,ASCENDENTE,500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,0,2022
2022-09-14,11,AV. LUGONES,DESCENDENTE,10300,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
2022-09-14,12,AU DELLEPIANE,ASCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,4,0,0,2022
2022-09-14,15,AU DELLEPIANE,DESCENDENTE,2400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,2022
